Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
vgg,raw,11,True,BL-BFGS,0.065,0.03,200,0.065,0.03,
vgg,raw,11,True,CW2,0.05,0.025,200,0.05,0.025,
vgg,raw,11,True,DeepFool,0.03208556149732621,0.0481283422459893,187,0.03,0.045,
vgg,raw,11,True,FGSM,0.10897435897435898,0.07051282051282051,156,0.085,0.055,
vgg,raw,11,True,LLC,0.05142857142857143,0.017142857142857144,175,0.045,0.015,
vgg,raw,11,True,PGD,0.05325443786982249,0.1242603550295858,169,0.045,0.105,
vgg,raw,11,True,RFGSM,0.08982035928143713,0.09580838323353294,167,0.075,0.08,
vgg,raw,11,True,STEP_LLC,0.09523809523809523,0.06349206349206349,189,0.09,0.06,
vgg,raw,11,True,UAP,0.022099447513812154,0.03867403314917127,181,0.02,0.035,
vgg,raw,13,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
vgg,raw,13,True,CW2,0.05,0.025,200,0.05,0.025,
vgg,raw,13,True,DeepFool,0.043010752688172046,0.05913978494623656,186,0.04,0.055,
vgg,raw,13,True,FGSM,0.16666666666666666,0.049019607843137254,102,0.085,0.025,
vgg,raw,13,True,LLC,0.05847953216374269,0.017543859649122806,171,0.05,0.015,
vgg,raw,13,True,PGD,0.06666666666666667,0.058333333333333334,120,0.04,0.035,
vgg,raw,13,True,RFGSM,0.08620689655172414,0.034482758620689655,116,0.05,0.02,
vgg,raw,13,True,STEP_LLC,0.09042553191489362,0.031914893617021274,188,0.085,0.03,
vgg,raw,13,True,UAP,0.03626943005181347,0.05181347150259067,193,0.035,0.05,
vgg,raw,16,True,BL-BFGS,0.10215053763440861,0.026881720430107527,186,0.095,0.025,
vgg,raw,16,True,CW2,0.03723404255319149,0.026595744680851064,188,0.035,0.025,
vgg,raw,16,True,DeepFool,0.04712041884816754,0.04712041884816754,191,0.045,0.045,
vgg,raw,16,True,FGSM,0.3375,0.075,80,0.135,0.03,
vgg,raw,16,True,LLC,0.08379888268156424,0.027932960893854747,179,0.075,0.025,
vgg,raw,16,True,PGD,0.08333333333333333,0.09848484848484848,132,0.055,0.065,
vgg,raw,16,True,RFGSM,0.12396694214876033,0.049586776859504134,121,0.075,0.03,
vgg,raw,16,True,STEP_LLC,0.25142857142857145,0.022857142857142857,175,0.22,0.02,
vgg,raw,16,True,UAP,0.03608247422680412,0.020618556701030927,194,0.035,0.02,
vgg,raw,19,True,BL-BFGS,0.055,0.03,200,0.055,0.03,
vgg,raw,19,True,CW2,0.05,0.03,200,0.05,0.03,
vgg,raw,19,True,DeepFool,0.043010752688172046,0.07526881720430108,186,0.04,0.07,
vgg,raw,19,True,FGSM,0.1527777777777778,0.05555555555555555,144,0.11,0.04,
vgg,raw,19,True,LLC,0.040229885057471264,0.034482758620689655,174,0.035,0.03,
vgg,raw,19,True,PGD,0.07407407407407407,0.07407407407407407,162,0.06,0.06,
vgg,raw,19,True,RFGSM,0.07142857142857142,0.07142857142857142,154,0.055,0.055,
vgg,raw,19,True,STEP_LLC,0.1111111111111111,0.027777777777777776,180,0.1,0.025,
vgg,raw,19,True,UAP,0.031413612565445025,0.031413612565445025,191,0.03,0.03,
